ISim log file
Running: D:\repo\avmis\SCHEME_TEST_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/repo/avmis/SCHEME_TEST_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 500000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
at 65395 ns: Error: Test error!
at 65450 ns: Error: Test error!
at 65840 ns: Error: Test error!
at 65935 ns: Error: Test error!
at 65990 ns: Error: Test error!
at 66045 ns: Error: Test error!
at 66435 ns: Error: Test error!
at 66530 ns: Error: Test error!
at 66585 ns: Error: Test error!
at 66640 ns: Error: Test error!
at 67030 ns: Error: Test error!
at 67125 ns: Error: Test error!
at 67180 ns: Error: Test error!
at 67235 ns: Error: Test error!
at 67625 ns: Error: Test error!
at 67720 ns: Error: Test error!
at 67775 ns: Error: Test error!
at 67830 ns: Error: Test error!
at 68220 ns: Error: Test error!
at 68315 ns: Error: Test error!
at 68370 ns: Error: Test error!
at 68425 ns: Error: Test error!
at 68815 ns: Error: Test error!
at 68910 ns: Error: Test error!
at 68965 ns: Error: Test error!
at 69020 ns: Error: Test error!
at 69410 ns: Error: Test error!
at 69505 ns: Error: Test error!
at 69560 ns: Error: Test error!
at 69615 ns: Error: Test error!
at 70005 ns: Error: Test error!
at 70100 ns: Error: Test error!
at 70155 ns: Error: Test error!
at 70210 ns: Error: Test error!
at 70600 ns: Error: Test error!
at 70695 ns: Error: Test error!
at 70750 ns: Error: Test error!
at 70805 ns: Error: Test error!
at 71195 ns: Error: Test error!
at 71290 ns: Error: Test error!
at 71345 ns: Error: Test error!
at 71400 ns: Error: Test error!
at 71790 ns: Error: Test error!
at 71885 ns: Error: Test error!
at 71940 ns: Error: Test error!
at 71995 ns: Error: Test error!
at 72385 ns: Error: Test error!
at 72480 ns: Error: Test error!
at 72535 ns: Error: Test error!
at 72590 ns: Error: Test error!
at 72980 ns: Error: Test error!
at 73075 ns: Error: Test error!
at 73130 ns: Error: Test error!
at 73185 ns: Error: Test error!
at 73575 ns: Error: Test error!
at 73670 ns: Error: Test error!
at 73725 ns: Error: Test error!
at 73780 ns: Error: Test error!
at 74170 ns: Error: Test error!
at 74265 ns: Error: Test error!
at 74320 ns: Error: Test error!
at 74375 ns: Error: Test error!
at 74765 ns: Error: Test error!
at 74860 ns: Error: Test error!
at 74915 ns: Error: Test error!
at 74970 ns: Error: Test error!
at 75360 ns: Error: Test error!
at 75455 ns: Error: Test error!
at 75510 ns: Error: Test error!
at 75565 ns: Error: Test error!
at 75955 ns: Error: Test error!
at 76050 ns: Error: Test error!
at 76105 ns: Error: Test error!
at 76160 ns: Error: Test error!
at 95590 ns: Error: Test error!
at 95685 ns: Error: Test error!
at 95740 ns: Error: Test error!
at 95795 ns: Error: Test error!
at 96185 ns: Error: Test error!
at 96280 ns: Error: Test error!
at 96335 ns: Error: Test error!
at 96390 ns: Error: Test error!
at 96780 ns: Error: Test error!
at 96875 ns: Error: Test error!
at 96930 ns: Error: Test error!
at 96985 ns: Error: Test error!
at 97375 ns: Error: Test error!
at 97470 ns: Error: Test error!
at 97525 ns: Error: Test error!
at 97580 ns: Error: Test error!
at 97970 ns: Error: Test error!
at 98065 ns: Error: Test error!
at 98120 ns: Error: Test error!
at 98175 ns: Error: Test error!
at 98565 ns: Error: Test error!
at 98660 ns: Error: Test error!
at 98715 ns: Error: Test error!
at 98770 ns: Error: Test error!
at 99160 ns: Error: Test error!
at 99255 ns: Error: Test error!
at 99310 ns: Error: Test error!
at 99365 ns: Error: Test error!
at 99755 ns: Error: Test error!
at 99850 ns: Error: Test error!
at 99905 ns: Error: Test error!
at 99960 ns: Error: Test error!
at 100350 ns: Error: Test error!
at 100445 ns: Error: Test error!
at 100500 ns: Error: Test error!
at 100555 ns: Error: Test error!
at 100945 ns: Error: Test error!
at 101040 ns: Error: Test error!
at 101095 ns: Error: Test error!
at 101150 ns: Error: Test error!
at 101540 ns: Error: Test error!
at 101635 ns: Error: Test error!
at 101690 ns: Error: Test error!
at 101745 ns: Error: Test error!
at 102135 ns: Error: Test error!
at 102230 ns: Error: Test error!
at 102285 ns: Error: Test error!
at 102340 ns: Error: Test error!
at 102730 ns: Error: Test error!
at 102825 ns: Error: Test error!
at 102880 ns: Error: Test error!
at 102935 ns: Error: Test error!
at 103325 ns: Error: Test error!
at 103420 ns: Error: Test error!
at 103475 ns: Error: Test error!
at 103530 ns: Error: Test error!
at 103920 ns: Error: Test error!
at 104015 ns: Error: Test error!
at 104070 ns: Error: Test error!
at 104125 ns: Error: Test error!
at 104515 ns: Error: Test error!
at 104610 ns: Error: Test error!
at 104665 ns: Error: Test error!
at 104720 ns: Error: Test error!
at 105110 ns: Error: Test error!
at 105205 ns: Error: Test error!
at 105260 ns: Error: Test error!
at 105315 ns: Error: Test error!
at 105705 ns: Error: Test error!
at 105800 ns: Error: Test error!
at 105855 ns: Error: Test error!
at 105910 ns: Error: Test error!
at 106300 ns: Error: Test error!
at 106395 ns: Error: Test error!
at 106450 ns: Error: Test error!
at 106505 ns: Error: Test error!
at 106895 ns: Error: Test error!
at 106990 ns: Error: Test error!
at 107045 ns: Error: Test error!
at 107100 ns: Error: Test error!
at 107490 ns: Error: Test error!
at 107585 ns: Error: Test error!
at 107640 ns: Error: Test error!
at 107695 ns: Error: Test error!
at 108085 ns: Error: Test error!
at 108180 ns: Error: Test error!
at 108235 ns: Error: Test error!
at 108290 ns: Error: Test error!
at 108680 ns: Error: Test error!
at 108775 ns: Error: Test error!
at 108830 ns: Error: Test error!
at 108885 ns: Error: Test error!
at 109275 ns: Error: Test error!
